title,abstract
Interaction between genetic predisposition to successful ageing and chronic air pollution on lung disease in elderly women: results of the German SALIA cohort.,"To investigate the interplay between the genetic predisposition to successful ageing and air pollution on lung disease in healthy aged German women under the hypothesis that ageing and lung diseases share mechanisms of oxidative stress and inflammation that can be regulated by genetic predisposition and environmental factors. German Study on the influence of Air pollution on Lung function, Inflammation and Aging prospective cohort between baseline (1985-1994) and follow-up (2007-2010). Urban Ruhr area and the adjacent rural Münsterland in Germany. At baseline, 4874 women aged 55 years living between 1985 and 1994 in the setting and at follow-up examination, 834 of them participated. Chronic lung disease was defined as any of asthma, chronic bronchitis, cough (with sputum) or chronic obstructive pulmonary disease. Chronic individual exposures to nitrogen dioxide (NO In 560 women (67-80 years), chronic lung disease was present in 156. Higher exposure to air pollution was associated with increased odds by up to 43% per IQR-increase in NO In elderly women, genetic predisposition based on successful ageing SNPs likely reduces the negative impact of air pollution on chronic lung disease, while a healthy lifestyle further strengthens this association."
Gradual Increase in Lung Cancer Risk Due to Particulate Matter Exposure in Patients With Pulmonary Function Impairments: A Nationwide Korean Database Analysis.,"Lung cancer remains a significant public health concern, with external environmental factors, such as particulate matter 2.5 (PM2.5), playing a crucial role in its development. This study aimed to assess the interaction between cumulative exposure to PM2.5 and lung function impairment, focusing on the risk of lung cancer in a large Korean population. Data from the Korea National Health and Nutrition Examination Survey from 2007 to 2020 were analyzed with linkage of the national cancer registry. A total of 43,973 participants, including 386 lung cancer cases, were included, with spirometry data available to classify lung function into categories. PM2.5 exposure was quantified using geocoded address information. Logistic regression models with interaction terms were used to evaluate lung cancer risk according to PM2.5 exposure levels and in interaction of lung function categories. A significant increase in lung cancer risk was observed with higher PM2.5 exposure levels, with odds ratios (ORs) of 1.41, 1.59, and 1.68 for the 2nd, 3rd, and 4th quartiles, respectively in multivariable models. Stratified analysis showed that the interaction between PM2.5 exposure and obstructive lung function significantly increased lung cancer risk, with ORs of 2.74 for spirometric obstruction and 3.43 for preserved ratio impaired spirometry in the highest PM2.5 quartile. This study suggests the carcinogenic risk of PM2.5 exposure, particularly in individuals with obstructive lung function impairments."
"Ambient air pollutant mixture and lung function among children in Fresno, California.","Ambient air pollutants such as particulate matter (PM), ozone (O3), and nitrogen dioxide (NO2) have been associated with lower lung function among children. However, the reported associations could be due to correlation with other pollutants. We investigate the relationships between exposures to eight ambient air pollutants and children's lung function and apply mixture analysis to identify key contributors to health effects. The Children's Health and Air Pollution Study (CHAPS) in Fresno, California, is a prospective cohort study that recruited 299 children and assessed their lung function at two visits, at approximately 7 and 9 years of age. The children's forced expiratory volume in the first second (FEV1), forced vital capacity (FVC), and FEV1/FVC ratio were standardized using the Global Lung Function Initiative (GLI) race-neutral calculators. We assessed the children's average daily residential exposures to PM2.5, PM10, nitrogen oxides (NOx), NO2, O3, carbon monoxide (CO), elemental carbon (EC), and polycyclic aromatic hydrocarbons (PAHs), during the 1-week, 1-month, 3-month, 6-month, and 12-month periods before each visit, and the 2 years between visits. We applied linear mixed-effect models and quantile-based g-computation (q-gcomp) for statistical analysis. The children's exposures to the eight ambient air pollutants exhibited high intercorrelation: Seven air pollutants were positively correlated, while O3 exposures were negatively correlated with the other pollutants. Higher PM10 was associated with lower FEV1 and FEV1/FVC ratio, and the associations were strongest for the 3-month exposure timeframe. Q-gcomp also identified PM10 as the key pollutant associated with lower FEV1 and FEV1/FVC ratio. Among the eight ambient air pollutants, PM10 was the strongest risk factor for impaired lung function among children in Fresno. Ambient air pollution levels in this community exceed regulatory standards and are harmful to children's lung function."
"Occupational Exposure to Ambient Air Pollution: At-Risk Worker Groups, Regulatory and Research Needs An Official American Thoracic Society Workshop Report.","Although health effects of ambient air pollution are well established in the general population, the impact of exposure in working populations remains poorly understood. Outdoor workers are disproportionately exposed to ambient air pollution, particularly with increasing wildfire smoke events and global climate change. An international interdisciplinary group of experts including worker representation assembled to review the current state of knowledge regarding the impact of occupational air pollution exposure on worker health and develop recommendations for research and actions to evaluate, mitigate, and regulate occupational air pollution exposure. The group identified health risks likely resulting from air pollution based on studies of the general population, noting that additional risks may be encountered from coexposures, as well as exertion increasing the work of breathing. High-risk groups were identified, including agricultural workers, construction workers, and wildland firefighters; others working in warehouses and indoor spaces are likely at risk via ambient air pollutant infiltration. It was estimated that at least 20 million outdoor U.S. workers are exposed to air pollution at work, which limits productivity and increases absenteeism. Participants recommended using air quality to guide work modifications and adoption of the hierarchy of exposure controls as a model to reduce exposures, as used by some states and proposed by the National Institute for Occupational Safety and Health for agricultural and other outdoor workers. Existing research supports the urgent need for policies to protect workers from exposure. Research gaps remain, including medical surveillance strategies, improved technology to protect workers, and studies specifically evaluating the impacts of occupational air pollution exposure."
Mast cells are essential in the development of exposure-associated exercise-induced bronchoconstriction in a mouse model.,"Cold air and air pollution are known triggers to induce symptoms in exercise-induced bronchoconstriction (EIB). Mast cells are hypothesized to be a key player in the pathogenesis of EIB. This study aims to investigate the role of mast cells using mast cell deficient (Cpa3 Male Cpa3 Inhibition of mast cells by Doxantrazole or mice lacking functional mast cells (Cpa3 Mast cells are crucial in the development of bronchial hyperreactivity and macrophage activation. Additionally, they have a complex interplay with neutrophilic inflammation. These findings highlight the potential of mast cell modulation as therapeutic strategy in exposure-associated EIB."
Seasonal PM,"Air pollution, specifically fine particulate matter (PM Summer and fall PM Seasonal variations in PM2.5 composition during winter, spring, and fall-coinciding with influenza season-likely enhance pro-inflammatory responses to viral infection, with early inflammation contributing to worsened pathogenesis."
"Biomarker changes before and after the 2024 peak burning period in healthy, diabetic, and hypertensive residents of Chiang Mai, Thailand.","Burning-related air pollution is a recurrent seasonal problem in Chiang Mai, Thailand, from March to May. Exposure has been linked to pulmonary damage and oxidative stress, measurable via serum Club Cell Protein 16 (CC16) and 8-Iso-prostaglandin F2α (8-iso-PGF2α). Polycyclic aromatic hydrocarbons (PAHs), especially 1-hydroxypyrene (1-OHP), are emitted during incomplete combustion and may contribute to diabetes and hypertension through oxidative pathways. Few studies have examined how PAH exposure from seasonal air pollution affects lung function biomarkers in individuals with these conditions in this region. A prospective cohort study was conducted in three Chiang Mai locations, following 127 participants with diabetes and/or hypertension during the before-burning (December 2023) and after-burning (May 2024) periods. Urinary 1-OHP measured PAH exposure, while serum CC16 and 8-iso-PGF2α assessed pulmonary damage and oxidative stress. Structured questionnaires captured participant characteristics and symptoms. Quantitative health-risk assessment (QHRA) converted 1-OHP to benzo[a]pyrene-equivalent doses for estimating lifetime cancer risk (LCR) and hazard quotient (HQ). From before- to after-burning, cohort-wide means increased significantly: urinary 1-OHP (0.24 ± 0.05 to 0.90 ± 1.21 μmol/mol Cre;  After burning in Chiang Mai substantially increases PAH exposure, pulmonary injury markers, and oxidative stress in individuals with diabetes and hypertension, with differential effects by comorbidity. Cancer risk thresholds were exceeded in older subgroups despite HQs below non-cancer hazard levels, highlighting the need for targeted protection strategies during burn seasons."
"Prenatal exposure to air pollution affects autophagy, senescence and remodelling proteins in cord blood.","Air pollution increases inflammation and reactive oxygen species that can induce autophagy, thereby leading to airway inflammation and remodelling. However, it is unclear whether prenatal air pollution may impact proteins involved in autophagy. The objectives of the present study were to investigate the associations of prenatal air pollution with proteins indicative of autophagy, senescence and remodelling in infants. We included 387 healthy term newborns from the BILD cohort study and measured 11 proteins: interleukin (IL)-1β, IL-8, matrix metallopeptidase (MMP)-3, MMP-9, platelet-derived growth factor (PDGF)-AA, transforming growth factor-β (TGF-β), sirtuin-1, p62, LC3B, tumour necrosis factor-α (TNF-α), and Beclin-1 in cord blood serum and plasma. We assessed the association of whole pregnancy residential exposure to nitrogen dioxide (NO Our results indicate that NO Our findings in healthy term newborns showed that prenatal air pollution exposure is associated with alterations in levels of autophagy-related proteins. For the first time, we identified four distinct clusters of newborns, suggesting that there are different air pollution response patterns in a healthy population."
"Lung cancer clusters and air pollution exposure in Wayne County, Michigan: an autoregressive distributed lag model.","Lung cancer is the most common cancer killer in the world. Although smoking is the biggest risk factor, it is increasingly being discovered that environmental pollution is also associated with the development of lung cancer. Previous studies have discovered the impact of environmental pollution on lung cancer, but it has been difficult to determine the duration of time after exposure in which the risk is greatest. Our goals were to investigate the association of specific air pollutants with lung cancer and to determine the lag time at which the incidence peaks following exposure. The Michigan Cancer Surveillance Program (MCSP) was queried from 1985 to 2018 for every case of lung cancer that occurred in Wayne County during that period. Data was obtained from the United States Environmental Protection Agency (EPA) for multiple pollutants from 1980 to 2021. Clusters of lung cancer in the county were detected by using SaTScan. Air pollution levels inside and outside the clustered areas were measured. The lagged relationship between pollution exposure and health outcome inside and outside the clustered areas were examined by using autoregressive distributed lag (ARDL) models, controlling for patient demographic features and meteorological conditions (MCs). Three separate lung cancer clusters encompassing 26 zip codes were detected with a relative risk (RR) larger than 1. These three clusters were all located within urban and industrial areas and experienced higher air pollution than non-cluster areas. After controlling for MCs and sociodemographic variables, the optimal lag dramatically decreased to a shorter responsive period (2-3 years) than previous clinical expectations (9-12 years). Additionally, ozone exposure levels demonstrated shorter lag times inside cluster areas (2 years) than outside cluster areas (3 years). Furthermore, sulfur dioxide levels were significantly associated with lung cancer incidence inside cluster areas, while no pollutant showed a significant relationship in non-cluster areas. Although future studies are required to validate these findings, the ARDL model may play a role in estimating a responsive window for lung cancer incidence. The lag time between exposure to environmental pollutants and development of lung cancer may be shorter than previously thought based on this population-based study. Future research should continue to model air pollution lag times and lung cancer in different settings."
"Restrictive Lung Function Patterns and Sex Differences in Primary School Children Exposed to PM2.5 in Chiang Mai, Northern Thailand.","Northern Thailand experiences annual haze events with fine particulate matter (PM2.5) exceeding standards, posing risks to schoolchildren. This cross-sectional study (Chiang Mai, 2024) evaluated respiratory impacts among primary school children aged 8-12 years. Daily mean PM2.5 concentrations were obtained from a single fixed-site monitoring station (36T) located within 2 km of the spirometry site. Among 93 children with acceptable spirometry, 52% exhibited restrictive, 18% obstructive, and 30% had normal function. After adjustment for BMI, males had significantly lower odds of any pulmonary abnormality than females (AOR = 0.084; 95% CI 0.017-0.417; "
Cross-Sectional Association of Ground-Level Ozone and Nitrogen Dioxide With Cardiac Mechanics Using Speckle-Tracking Echocardiography in the Cardiovascular Health Study.,"Ground-level ozone (O We applied speckle-tracking echocardiography (STE) to explore the relationship between chronic residential gaseous air pollution exposure and cardiac mechanics in community-dwelling older adults largely free of baseline heart disease. Average annual address-specific concentrations of O One thousand five hundred and seventy-six individuals were included in the analysis. We found that each part per billion increase in O Ozone exposure may be associated with subclinical markers of diastolic dysfunction, while NO"
In situ propagation-based lung computed tomography for large animal models.,"The lung is a complex organ with a hierarchical structure, containing four times more air than tissue. It is in constant contact with environmental factors such as pollution and pathogens, leading to pathological alterations at various hierarchical levels. Because of its intricate structure and continuous movement, lung imaging presents significant challenges for most existing techniques. Recent advancements in phase-contrast computed tomography and photon-counting detectors have greatly enhanced lung imaging capabilities. Specifically, propagation-based imaging (PBI), a phase-contrast method that does not require optical elements, has proven particularly effective at low X-ray dose rates due to the strong phase shifts between lung tissue and aerated regions. This study introduces an in situ imaging approach for large-scale lungs using PBI at the Imaging and Medical Beamline (IMBL) of the Australian Synchrotron. We investigated optimal conditions for PBI, including energy and propagation distance settings, and found that an X-ray beam energy of 70 keV combined with a 7 m propagation distance yields the highest image quality in terms of contrast-to-noise ratio while also delivering the lowest radiation dose. Furthermore, Monte Carlo simulations were performed on the reconstructed volume to calculate absorbed radiation doses in tissues. These findings provide valuable insights for designing future experiments aimed at minimizing radiation exposure and potentially enable in vivo applications in larger animals or even humans."
METTL3-driven m,"Air pollution, particularly from fine particulate matter (PM2.5), poses a significant threat to respiratory health, yet the molecular mechanisms underlying PM2.5-induced lung injury remain incompletely understood. This study investigated the role of "
Avoidable Mortality Burden Attributable to PM2.5 in Madrid (Spain).,The World Health Organization (WHO) established in 2021 an annual health limit of 5 μg/m La WHO estableció en 2021 un límite anual sanitario de concentración de PM2.5 (cPM2.5) en el ambiente de 5 μg/m
Assessment of respirable silica in ambient air of Dhaka and evaluation of human health risks.,"Respirable Silica (RS) is a substantial pollutant in urban air, and it is associated with severe health hazards, including lung inflammation, kidney diseases, poor lung function, and silicosis. RS levels in close proximity to occupational and emission sources are widely reported; however, ambient exposure from non-occupational sources is still not properly studied. This study examines the concentration of RS in ambient air during different seasons of the year and the diverse sources that contribute to RS concentrations in Dhaka City, Bangladesh. Ambient fine particulate matter (PM) was collected using a low-volume air sampler on Teflon filters at an average flow rate of 15.4 ± 1.36 L min⁻¹, with each sample collected continuously over 24 h to assure a representative daily exposure at five different locations. RS concentrations were quantified spectrophotometrically, with a limit of detection (LOD) of 0.05 µg m⁻³. The highest recorded concentration was 14.2 µg m⁻³, while the mean RS concentration was 3.74 ± 3.12 µg m⁻³. Seasonal patterns indicated increased RS concentrations in winter (6.28 µg m⁻³) relative to the pre-monsoon (1.97 µg m⁻³) and post-monsoon (3.74 µg m⁻³) phases. Among the five study sites, the Teacher Student Center (TSC) exhibited the highest RS concentration (7.33 µg m⁻³) due to proximity to metro-rail construction, whereas the academic building site recorded the lowest (0.95 µg m⁻³), indicating relatively cleaner air. Health risk assessments indicated an average hazard quotient (HQ) of 1.25, suggesting significant non-cancer risks, and a cancer risk of 14.2 cases per 10,000, emphasizing the urgent need to address RS exposure. These findings emphasize the substantial public health impact associated with ambient RS pollution in urban environments, urging quick regulatory and mitigation steps in rapidly rising cities such as Dhaka. The online version contains supplementary material available at 10.1038/s41598-025-21348-0."
"Global, regional, and national sepsis incidence and mortality, 1990-2021: a systematic analysis.","The global burden of sepsis, a life-threatening dysregulated host response to infection leading to organ dysfunction, remains challenging to quantify. We aimed to comprehensively estimate the global, regional, and national burden of sepsis, including the impact of the COVID-19 pandemic and underlying causes of sepsis-related deaths with co-occurring infectious syndromes. We used multiple cause-of-death, hospital, minimally invasive tissue sampling, and linked death certificate and hospital record data representing 149 million deaths, covering 4290 location-years with mortality estimates from the Global Burden of Diseases, Injuries, and Risk Factors Study (GBD) 2021 to capture explicit and implicit sepsis cases and deaths. We estimated age-location-sex-specific fractions of sepsis-related deaths from 195 underlying causes of death and 22 infectious syndromes from 1990 to 2021 using binomial logistic regression models, and estimated sepsis-related deaths using GBD cause-specific mortality estimates. Using 250 million hospital admissions and 7·82 million deaths from hospital data, representing 1310 location-years, we modelled case fatality rates by use of binomial logistic regression, applied to sepsis death estimates to estimate sepsis incidence by age, location, and year. In 2021, we estimated 166 million (95% uncertainty interval 135-201) sepsis cases and 21·4 million (20·3-22·5) all-cause sepsis-related deaths globally, representing 31·5% of total global deaths. Sepsis-related deaths decreased between 1990 and 2019, followed by a surge in 2020 and 2021. As of 2021, individuals aged 15 years and older experienced increases across incidence (230%) and mortality (26·3%) since 1990. Those aged 70 years and older had the highest sepsis-related mortality in 2021 (9·28 million [8·74-9·86] deaths). Sepsis-related deaths from infectious underlying causes decreased from 11·8 million (11·1-12·5) in 1990 to 8·34 million (7·72-9·01) in 2019, then increased by 86·4% to 15·5 million (14·7-16·4) in 2021. Sepsis-related mortality due to non-infectious underlying causes of death increased from 4·69 million (4·35-5·05) in 1990 to 5·81 million (5·40-6·25) in 2021; the leading non-infectious underlying causes of death with sepsis were stroke, chronic obstructive pulmonary disease, and cirrhosis. In 2021, bloodstream infections inclusive of HIV and malaria (3·08 million [2·83-3·35]) and lower respiratory infections inclusive of COVID-19 (11·33 million [1·20-1·47]) were the most prominent infectious syndromes complicating sepsis-related deaths from non-infectious underlying causes, representing a consistent trend since 1990. The global burden of sepsis increased in 2020 and 2021, reversing progress from 1990. Sepsis incidence and mortality increased in people aged 15 years and older, especially those aged 70 years and older, and as a complication of non-infectious underlying causes of death such as stroke, primarily through bloodstream infections and lower respiratory infections. The global burden of sepsis is substantial, and sepsis is increasingly a complication of non-infectious causes of death. Gates Foundation, Wellcome Trust, and Department of Health and Social Care using UK aid funding managed by the Fleming Fund."
Effect of Ambient Air Pollutants on Acute changes in Pulmonary Variables and Inflammatory Markers in Healthy Adults: A Pilot Study.,"Air pollution is associated with adverse health effects, particularly on respiratory and cardiovascular systems. Smog, prevalent in Northern India, contains particulate matter (PM10, PM2.5) and gaseous pollutants that can impair pulmonary function. Ambient air pollution can be quantified by the air quality index (AQI). Understanding the acute effects of air quality on respiratory physiology and inflammation is essential. A pilot prospective longitudinal observational study evaluated healthy volunteers during high (HAQI, AQI >350) and low pollution (LAQI, AQI <150) phases. Spirometry and impulse oscillometry (IOS) assessed lung function; and biomarkers (interleukin-6, tumor necrosis factor alpha) were measured from exhaled breath condensate (EBC) and serum. Paired t-tests or Wilcoxon signed-rank tests were used for analysis. A total of 21 participants (mean age 25.4±7.4 years, female 33.3%, body mass index 23.9±3.5 kg/m Acute air pollution exposure impairs lung function and increases airway resistance in healthy adults. These findings underscore the need for larger longitudinal studies to clarify the mechanisms linking acute air pollution exposure to chronic health outcomes."
Exposome and the Prevention of Lung Diseases: A New Paradigm for Lung Health and Prevention.,
Participatory science to action: Radon literacy assessment and testing in an African American community.,"Low radon testing rates in communities of color are health concerns with possible elevated lung cancer risks. Our objective was to use a participatory science approach to assess environmental health literacy specific to radon, i.e., radon literacy, and testing practices in a primarily African American community in Atlanta, Georgia. A leadership team of two academic researchers and a community organization leader engaged an intergenerational group of residents that included one adult team lead, three community elders, and three youth as community scientists, who contributed to research design, survey administration, radon testing, and results dissemination. From March to October 2022, 167 homeowners (87 % African American) participated in radon testing and at-home surveys. A total of 154 valid tests were obtained with a mean radon level of 126 Bq/m"
Ambient PM,Ambient fine particulate matter (PM
"Community Factors and County-Level Cancer Screening, Prevalence, and Mortality.","Cancer screening, prevalence, and mortality vary across US counties; the broad set of community factors associated with these differences are not well understood. To assess the relative importance of diverse community measures for explaining county-level variance in cancer screening, prevalence, and mortality rates for breast, colorectal, lung, and prostate cancers. This geospatial cross-sectional analysis across all US counties used random forest algorithms to estimate the relative importance of 24 community measures-including health behaviors and lifestyle, socioeconomic, and environment factors-as explanatory factors for cancer screening, prevalence, and mortality. For each cancer, county-level cancer screening and prevalence rates were based on a nationally representative 5% sample of Medicare fee-for-service beneficiaries (2020). The 5-year (2016-2020) mean mortality rates were from the National Cancer Institute's State Cancer Profiles. Neiman Cancer disparity maps geospatially display significant community-factor to cancer-outcome associations via county-level choropleth maps. Data were analyzed from September 2024 through February 2025. Residence in the 50 states, Puerto Rico, and the District of Columbia. Outcomes were county-level rates of cancer screening, prevalence, and mortality for breast, colorectal, lung, and prostate cancers. Separate random forest algorithms estimated the relative importance of 24 community measures for each outcome-cancer type combination, and maps display county-level associations. Among a nationally representative 5% of 2020 Medicare Fee-For-Service beneficiaries, 87% were aged 65 years or older. The top ranking explanatory community factors (100% relative importance) for mortality were smoking rate for both lung and colorectal cancers, and the non-Hispanic Black population share for both breast and prostate cancers. For prevalence and screening rates, the top factors were unique for each cancer type. Uninsured rate, unemployment, limited access to health foods, and poor physical health were the top ranked factors for breast, colorectal, lung, and prostate cancer prevalence, respectively. Hispanic population, poverty, air pollution, and Air Toxics Cancer Risk were ranked highest for screening rates, respectively, for each cancer. Two of only 3 environmental factors, Environmental Justice Index and Air Toxics Cancer Risk, had the most top-5 associations for mortality and screening, respectively. Uninsured rates for prevalence and poverty rates for screening were also important across cancer types. In this cross-sectional study of the relative explanatory importance of community measures on cancer screening, prevalence, and mortality rate we found that the ranking of factors varied for each specific cancer and outcome, which can inform targeted population health efforts. Factors that ranked high across cancer types for a given outcome, such as uninsured rates for cancer prevalence, represent opportune targets for future study and broader policy change."
Episodic ozone exposure over two weeks alters pulmonary inflammation and gene expression in Long-Evans rats.,"Elevated exposure to ozone (O Male, Long-Evans rats were exposed for either two days or two weeks of episodic exposure to 0.4 or 0.8 ppm O Concentration-dependent effects of O Aspects of the adaptation response were still present in rats episodically exposed to O"
Lung microbiomes' variable responses to dust exposure in mouse models of asthma.,"Inhalation of dust is significant and relevant to health effects. As pollution and climate change worsen in dryland regions, wind currents entrain loose sediment and dust. This potentially disperses toxic geochemical and microbial burdens throughout the region. When inhaled environmental dust and host-associated microbiomes mingle, they pose exposure risks to host respiratory health. The Salton Sea, California's largest lake, is shrinking, thus exposing nearby communities to playa dust. Therefore, we analyze the effect of Salton Sea dust exposure in murine models to relate lung microbial communities and respiratory health. We used an environmental chamber to expose mice to dust filtrate or ambient air and examined the effects of those exposures on lung microbiomes. We found that lung microbial composition varied by dust exposure. Furthermore, dust elicited neutrophil recruitment and immune responses more than mice exposed to ambient air. Sources of dust differentially affected the composition of the lung core microbiome. Lung microbial diversity correlated with neutrophil recruitment as lungs associated with inflammatory responses harbored more diverse microbiomes. Although Salton Sea dust influences dust microbiomes and prevalent taxa, these responses are variable. The composition of lungs exposed to dust collected further from the Salton Sea was more similar to lungs from ambient air exposures; in contrast, dust collected near the Salton Sea yielded lung microbiomes that clustered further from lungs exposed to ambient air. As lakes continue to dry out, we expect greater public health risks in proximal dryland regions, which may correlate with dust microbial dispersal-related changes to lung microbiomes. Dust inhalation can lead to health effects, especially when toxic chemicals and microbes mix in with the dust particles. As California's Salton Sea dries up, it exposes lake bottom sediments to wind, which disperses the dried sediments. To mimic the effect of inhaling Salton Sea dust, we collected and filtered airborne dust to use in exposure experiments with mice in environmental chambers. We predicted that inhaling small dust particles, chemicals, and microbial residues found in this dust would affect mouse respiratory health or change the microbes found inside their lungs. We found that inhaling dust led to lung inflammation, and the dust source influenced the type of microbes found inside mouse lungs. As lakes continue to dry out, we expect greater health risks and changes to lung microbiomes."
"Survival among patients with cancer after a coalmine fire: analysis of registry data in regional Victoria, Australia.","In 2014, a bushfire ignited the Hazelwood coalmine in regional Victoria, Australia, shrouding nearby communities in smoke for 6 weeks. In this study, we examined whether survival decreased among people with cancer in smoke-exposed areas. We identified cancers diagnosed between January 2009 and February 2014, the start of the coalmine fire, from the Victorian Cancer Registry. Tumours were grouped by location as well as subtypes for breast and lung cancers. Smoke exposure was determined by the daily average of PM There was no detectable effect of fire-related PM We found limited evidence that smoke from the Hazelwood coal mine fire reduced survival among people living with cancer. The association with reduced survival among women with breast cancer may be a chance finding. However, this does not rule out an effect and further analyses should follow when more data become available or following other similar disasters."
Equity in Respiratory Health: Actionable Recommendations for Spain.,"Chronic respiratory diseases are a major public health burden, affecting over 7 million people in Spain and representing the third leading cause of death. Conditions such as chronic obstructive pulmonary disease, asthma, and lung cancer are heavily influenced by social and environmental determinants, including socioeconomic status, air quality, and smoking. Moreover, the increasingly aging Spanish population and persistent urban pollution levels further expand the burden of these diseases. This article underscores the urgent need to address inequities in respiratory healthcare through comprehensive policy action. To this end, we herein propose measures such as strengthening primary care to ensure early diagnosis, enhancing coordination between community pharmacy, primary and hospital care, incorporating specialised roles such as continuity-of-care nurses, prioritising access to cost-effective innovative treatments, promoting healthy environments, and reinforcing anti-smoking initiatives. We also advocate for inclusion of social determinants of health indicators in electronic health records and for development of patient education programmes. Tackling respiratory health disparities requires targeted strategies that involve all healthcare and social stakeholders to optimise resource use and improve the quality of life of patients with respiratory diseases in Spain. Las enfermedades respiratorias crónicas representan una importante carga para la salud pública, afectando a más de siete millones de personas en España, y constituyendo la tercera causa de muerte. Afecciones como la enfermedad pulmonar obstructiva crónica (EPOC), el asma y el cáncer de pulmón están fuertemente condicionadas por determinantes sociales y medioambientales, entre los que se incluyen el nivel socioeconómico, la calidad del aire y el tabaquismo. Además, el progresivo envejecimiento de la población española y los persistentes niveles de contaminación urbana agravan aún más esta carga. El presente artículo subraya la necesidad urgente de abordar las desigualdades en la atención respiratoria mediante una acción política integral. Con este objetivo, se proponen medidas como el refuerzo de la atención primaria para garantizar un diagnóstico precoz, la mejora de la coordinación entre la farmacia comunitaria, la atención primaria y hospitalaria, la incorporación de roles especializados como las enfermeras de continuidad asistencial, la priorización del acceso a tratamientos innovadores coste-efectivos, la promoción de entornos saludables y el refuerzo de las iniciativas antitabaco. Asimismo, se aboga por la inclusión de indicadores de los determinantes sociales de la salud en las historias clínicas electrónicas, y por el desarrollo de programas de educación para pacientes. Abordar las desigualdades en salud respiratoria requiere estrategias específicas que involucren a todos los agentes sanitarios y sociales, con el fin de optimizar el uso de recursos, y mejorar la calidad de vida de los pacientes con enfermedades respiratorias en España."
"Traditional medicine, environmental exposures, and cultural practices in cancer risk: insights from low- and middle-income countries.","Cancer is a growing public health concern in low- and middle-income countries (LMICs), influenced by cultural practices, environmental exposures, and dependence on traditional medicine in addition to biological risk factors. Evidence from peer-reviewed publications published between 2010 and 2025 was combined in this narrative review. According to studies, traditional and complementary medicine (T&CM) is used by 35% to 79% of cancer patients in LMICs, which frequently delays biomedical treatment and complicates care. Over 2.4 billion people use biomass fuels for household air pollution (HAP), which has been associated with a two- to three-fold increased risk of lung cancer, especially in women. Furthermore, tobacco smoking contributes to about 2.7 million new cases of cancer in less developed areas each year, highlighting ongoing exposure to avoidable dangers. Findings show that the cancer burden in LMICs is further exacerbated by poor food storage, alcohol use, pesticide exposure, unregulated consumer chemicals, and stigma. These cultural and environmental factors must be addressed in preventative initiatives in addition to biological therapy. Strengthening T&CM regulations, enhancing food safety, upholding alcohol and tobacco legislation, lowering exposures at work and in the home, and introducing culturally-based education to dispel stigma and myths are among the top priorities. This is a narrative review rather than a systematic one; the goal is to map thematic evidence throughout Africa, Asia, and Latin America, providing insights for policy design. Integrated, context-specific, and community-driven approaches are required to eliminate inequities and promote equitable cancer control in LMICs."
Socioeconomic impact on quality of care in pelvic gynecological cancers.,"Several European studies have shown health-related social inequalities in pelvic gynecological cancers, with a social gradient in incidence and mortality, partly explained by more advanced stages at diagnosis in low socioeconomic populations. Disparities in treatment and quality of care in these patients could be another cause of inequality in care. This study evaluates the impact of socioeconomic factors on quality of care for pelvic gynecological cancers (adnexal, uterine corpus, and cervix). This retrospective multicentric cohort study included women diagnosed with pelvic gynecological invasive cancer, between January 1 and December 31, 2022, in six university hospitals in North Paris. Two socioeconomic indicators, the FDep index and the Evaluation of Deprivation and Inequalities in Health Examination Centers (EPICES) score, were collected. The quality of care was assessed using a binary quality indicator based on selected European Society of Gynecological Oncology (ESGO) quality indicators for each cancer. We compared the ""Non-adherence to Quality Indicator"" (NAQI) group, where one or more of the ESGO quality indicators were not met, to the ""Adherence to Quality Indicator"" (AQI) group using univariate analysis. An analysis of the time to first treatment, according to FDep and EPICES groups, using a Kaplan-Meier, estimation was completed. A total of 189 patients were included: 50 with ovarian cancer, 76 with endometrial cancer, and 63 with cervical cancer. Ninety-nine patients (52.4%) belonged to the NAQI group and 90 patients (46.7%) to the AQI group. Patients were significantly in poorer general condition and presented more advanced Federation International of Gynecology Obstetrics (FIGO) stages in the NAQI than in the AQI group (ASA score 3-4: 20/84 [23.8%] vs. 5/76 (6.6%), P < 0.01 and FIGO III-IV stage: 55/99 [55.6%] vs. 35/90 [38.9%], P = 0.03). There was no significant difference for socioeconomic indicators between the NAQI and the AQI groups (FDep quintiles 3-4-5 = 41/99 (41.4%) vs. FDep quintiles 1-2 = 39/90 (43.3%), P = 0.91; EPICES score ≤ 30 = 31/63 (49.2%) vs. EPICES score > 30 = 21/51 (41.2%), P = 0.50). According to FDep and EPICES groups, we found no difference in the time to first treatment. We found no socioeconomic impact on hospital quality of care in pelvic gynecological cancers."
